Filename,Style,Genre,Date,Predictions,Real Values
27993.jpg,,,1962.0,Edgar Degas,Andre Masson
57971.jpg,Abstract Expressionism,abstract,1954.0,Boris Kustodiev,Guido Molinari
85708.jpg,Impressionism,nude painting (nu),1906,Camille Pissarro,Childe Hassam
32974.jpg,Impressionism,landscape,1900,Camille Pissarro,John Henry Twachtman
36682.jpg,Romanticism,marina,1860.0,Eugene Boudin,William Bradford
11810.jpg,Impressionism,genre painting,1887,Vincent van Gogh,William Merritt Chase
32429.jpg,Impressionism,genre painting,1901.0,Pierre-Auguste Renoir,Tom Roberts
93892.jpg,Abstract Expressionism,abstract,1968.0,Edgar Degas,Alvaro Lapa
67455.jpg,Northern Renaissance,portrait,,Vincent van Gogh,Albrecht Altdorfer
47942.jpg,Impressionism,genre painting,1873,Pierre-Auguste Renoir,Pierre-Auguste Renoir
23842.jpg,Impressionism,genre painting,1914,Camille Pissarro,Mary Cassatt
17527.jpg,Impressionism,landscape,1875,Camille Pissarro,Alfred Sisley
33909.jpg,Northern Renaissance,religious painting,c.1515,Boris Kustodiev,Gerard David
39041.jpg,Magic Realism,landscape,1976.0,Boris Kustodiev,Eyvind Earle
8650.jpg,Impressionism,portrait,1879,Pyotr Konchalovsky,Mary Cassatt
34696.jpg,Magic Realism,genre painting,1941,Theophile Steinlen,Eric Ravilious
83634.jpg,Baroque,mythological painting,1637,Pyotr Konchalovsky,Pietro da Cortona
52647.jpg,Mannerism (Late Renaissance),religious painting,1528,Edgar Degas,Andrea del Sarto
61279.jpg,Baroque,religious painting,1653.0,Vincent van Gogh,Luca Giordano
74240.jpg,Impressionism,portrait,1883,Vincent van Gogh,William Merritt Chase
9155.jpg,Impressionism,genre painting,1887,Camille Pissarro,John Singer Sargent
30126.jpg,Early Renaissance,religious painting,1440,Boris Kustodiev,Fra Angelico
35787.jpg,Northern Renaissance,religious painting,,Edgar Degas,Hieronymus Bosch
92746.jpg,Abstract Expressionism,abstract,1989.0,Theophile Steinlen,John Cage
9141.jpg,Romanticism,genre painting,1910.0,Pierre-Auguste Renoir,Charles M. Russell
93217.jpg,Socialist Realism,genre painting,,Vincent van Gogh,Konstantin Yuon
32127.jpg,Impressionism,landscape,1890,Camille Pissarro,Alfred Sisley
66519.jpg,Impressionism,genre painting,1880,Camille Pissarro,Pierre-Auguste Renoir
81559.jpg,Impressionism,portrait,c.1908,Pierre-Auguste Renoir,Pierre-Auguste Renoir
59101.jpg,Impressionism,landscape,1899,Vincent van Gogh,Childe Hassam
97072.jpg,Romanticism,cityscape,,Vincent van Gogh,Cornelis Springer
37794.jpg,Baroque,self-portrait,c.1657,Camille Corot,Gerrit Dou
7004.jpg,Realism,portrait,1906,Edgar Degas,Giovanni Boldini
12727.jpg,Romanticism,portrait,1852,Camille Corot,Paul Kane
34957.jpg,Impressionism,genre painting,1886,Pierre-Auguste Renoir,Berthe Morisot
82178.jpg,Baroque,landscape,c.1608,Camille Corot,Peter Paul Rubens
76987.jpg,Impressionism,genre painting,1884,Camille Pissarro,Paul Gauguin
50956.jpg,Impressionism,landscape,1890,Pierre-Auguste Renoir,Alfred Sisley
23710.jpg,Impressionism,portrait,1893,Pierre-Auguste Renoir,Berthe Morisot
6429.jpg,Impressionism,marina,,Boris Kustodiev,Kimon Loghi
65238.jpg,Symbolism,landscape,1922,Theophile Steinlen,Martiros Saryan
68045.jpg,Baroque,veduta,1774,Eugene Boudin,Francesco Guardi
95475.jpg,Cubism,landscape,,Vincent van Gogh,Auguste Herbin
88380.jpg,Baroque,literary painting,1620,Pyotr Konchalovsky,Jacob Jordaens
56662.jpg,Magic Realism,landscape,1987.0,Theophile Steinlen,Eyvind Earle
42953.jpg,Surrealism,portrait,1963,Edgar Degas,Salvador Dali
103018.jpg,Early Renaissance,religious painting,1448,Boris Kustodiev,Fra Angelico
54224.jpg,Surrealism,symbolic painting,,Vincent van Gogh,Zdislav Beksinski
82991.jpg,Baroque,portrait,1657,Camille Corot,Diego Velazquez
34692.jpg,Impressionism,landscape,1905,Pierre-Auguste Renoir,Pierre-Auguste Renoir
102861.jpg,Neoclassicism,portrait,1909,Boris Kustodiev,John William Godward
97279.jpg,Mannerism (Late Renaissance),religious painting,1575,Edgar Degas,Paolo Veronese
80314.jpg,Impressionism,genre painting,1912,Vincent van Gogh,Childe Hassam
69061.jpg,Impressionism,genre painting,1882,Edgar Degas,Edouard Manet
28051.jpg,Expressionism,landscape,1909,Vincent van Gogh,Francis Picabia
7519.jpg,Romanticism,landscape,1855.0,Camille Corot,Frederic Edwin Church
33831.jpg,Romanticism,genre painting,,Edgar Degas,Giovanni Battista Torriglia
8188.jpg,Surrealism,symbolic painting,,Edgar Degas,Zdislav Beksinski
50514.jpg,Romanticism,portrait,,Camille Corot,Vasily Tropinin
100253.jpg,Impressionism,flower painting,1902,Camille Pissarro,Camille Pissarro
964.jpg,Intimism,interior,1900,Boris Kustodiev,Felix Vallotton 
19806.jpg,Impressionism,nude painting (nu),c.1903,Edgar Degas,Edgar Degas
96069.jpg,Symbolism,symbolic painting,1937,Boris Kustodiev,Nicholas Roerich
66722.jpg,Romanticism,illustration,,Boris Kustodiev,Edwin Austin Abbey
2820.jpg,Mannerism (Late Renaissance),religious painting,1576,Eugene Boudin,Tintoretto
38181.jpg,Post-Impressionism,sketch and study,1933,Vincent van Gogh,Pyotr Konchalovsky
43902.jpg,Impressionism,portrait,1920,Edgar Degas,Giovanni Boldini
42387.jpg,Divisionism,landscape,1920,Vincent van Gogh,Henri Martin
65065.jpg,Cubism,religious painting,1913,Pyotr Konchalovsky,Franz Marc
388.jpg,Realism,portrait,1876,Edgar Degas,Thomas Eakins
43059.jpg,Cubism,wildlife painting,1913,Edgar Degas,Franz Marc
85381.jpg,Impressionism,genre painting,1888,Pierre-Auguste Renoir,Childe Hassam
12788.jpg,Magic Realism,landscape,1995.0,Boris Kustodiev,Eyvind Earle
9094.jpg,Impressionism,genre painting,c.1886,Camille Pissarro,Gustave Caillebotte
97425.jpg,Impressionism,landscape,1902,Boris Kustodiev,John Henry Twachtman
50545.jpg,Romanticism,genre painting,1918.0,Pierre-Auguste Renoir,Charles M. Russell
88640.jpg,Post-Impressionism,design,1917,Edgar Degas,Pablo Picasso
57045.jpg,Cubism,still life,1911,Camille Corot,Juan Gris
35763.jpg,Early Renaissance,religious painting,c.1447,Pyotr Konchalovsky,Domenico Veneziano
49699.jpg,Impressionism,portrait,1886,Camille Pissarro,William Merritt Chase
77301.jpg,Expressionism,symbolic painting,1911,Pyotr Konchalovsky,Egon Schiele
30493.jpg,Realism,landscape,c.1865,Camille Corot,Gustave Courbet
55991.jpg,Romanticism,landscape,1814,Camille Pissarro,John Constable
39775.jpg,Impressionism,landscape,,Eugene Boudin,Eugene Boudin
78278.jpg,Romanticism,portrait,,Edgar Degas,Francisco Goya
18800.jpg,Mannerism (Late Renaissance),religious painting,1568,Pierre-Auguste Renoir,El Greco
14504.jpg,Impressionism,landscape,1892,Boris Kustodiev,Gustave Caillebotte
73914.jpg,Regionalism,portrait,1925,Edgar Degas,Norman Rockwell
38389.jpg,Naïve Art (Primitivism),religious painting,1828,Theophile Steinlen,Edward Hicks
32601.jpg,Hard Edge Painting,abstract,1965.0,Edgar Degas,Lorser Feitelson
99830.jpg,Impressionism,portrait,1900.0,Pierre-Auguste Renoir,Tom Roberts
44829.jpg,Post-Impressionism,genre painting,1887,Edgar Degas,Paul Cezanne
69759.jpg,Impressionism,landscape,1910,Vincent van Gogh,Willard Metcalf
47039.jpg,Impressionism,cityscape,c.1885,Vincent van Gogh,An Exterior
79915.jpg,Post-Impressionism,landscape,,Camille Pissarro,Maurice Utrillo
18506.jpg,Naïve Art (Primitivism),landscape,1847,Camille Pissarro,Edward Hicks
74059.jpg,Northern Renaissance,religious painting,1480,Edgar Degas,Hans Memling
96431.jpg,Art Deco,portrait,1924,Vincent van Gogh,Diego Rivera
2987.jpg,New Realism,cityscape,,Vincent van Gogh,Edward Hopper
68531.jpg,Romanticism,portrait,1830.0,Edgar Degas,Thomas Sully
78818.jpg,Surrealism,symbolic painting,,Edgar Degas,Zdislav Beksinski
52689.jpg,Cubism,genre painting,1912.0,Edgar Degas,Albert Gleizes
11422.jpg,Mannerism (Late Renaissance),religious painting,1547,Pyotr Konchalovsky,Paolo Veronese
68003.jpg,Northern Renaissance,genre painting,1566,Gustave Dore,Pieter Bruegel the Elder
35213.jpg,Impressionism,landscape,1893,Boris Kustodiev,John Henry Twachtman
45244.jpg,Impressionism,genre painting,1914,Boris Kustodiev,Childe Hassam
29015.jpg,Impressionism,landscape,,Camille Pissarro,Pierre-Auguste Renoir
48627.jpg,Realism,genre painting,1876.0,Eugene Boudin,Anton Mauve
76358.jpg,Post-Impressionism,cityscape,c.1885,Vincent van Gogh,Paul Cezanne
44975.jpg,Impressionism,animal painting,1885,Camille Pissarro,Paul Gauguin
29262.jpg,Realism,landscape,1869,Camille Corot,Gustave Courbet
46578.jpg,Cubism,symbolic painting,1943.0,Pyotr Konchalovsky,Jankel Adler
58299.jpg,Realism,cityscape,1949,Pyotr Konchalovsky,Konstantin Yuon
39415.jpg,Baroque,religious painting,1618,Edgar Degas,Peter Paul Rubens
64446.jpg,Symbolism,flower painting,,Pierre-Auguste Renoir,Odilon Redon
3470.jpg,Luminism,landscape,1877.0,Camille Corot,Frederic Edwin Church
38327.jpg,Symbolism,symbolic painting,c.1883,Vincent van Gogh,Odilon Redon
99453.jpg,Realism,portrait,1917,Pierre-Auguste Renoir,John Singer Sargent
58494.jpg,,,1879.0,Vincent van Gogh,William Bradford
78615.jpg,Color Field Painting,abstract,1974,Boris Kustodiev,Perle Fine
38248.jpg,Mannerism (Late Renaissance),allegorical painting,c.1564,Pyotr Konchalovsky,Tintoretto
29206.jpg,Post-Impressionism,landscape,1888,Vincent van Gogh,Paul Gauguin
18547.jpg,Expressionism,genre painting,c.1935,Theophile Steinlen,Ernst Ludwig Kirchner
76878.jpg,Romanticism,landscape,c.1812,Camille Corot,John Constable
85529.jpg,Baroque,religious painting,1615,Pierre-Auguste Renoir,Peter Paul Rubens
55961.jpg,Impressionism,landscape,1887,Vincent van Gogh,William Merritt Chase
30778.jpg,Art Nouveau (Modern),illustration,,Theophile Steinlen,Theophile Steinlen
64179.jpg,Symbolism,genre painting,1868,Boris Kustodiev,James McNeill Whistler
42163.jpg,Luminism,landscape,c.1863,Camille Corot,Albert Bierstadt
10147.jpg,Art Informel,abstract,1982.0,Pyotr Konchalovsky,Maurice Esteve
72091.jpg,Early Renaissance,portrait,,Vincent van Gogh,Piero della Francesca
47029.jpg,Impressionism,landscape,1883,Camille Pissarro,Paul Gauguin
30604.jpg,Realism,landscape,c.1865,Camille Corot,Camille Corot
94374.jpg,Baroque,religious painting,c.1632,Camille Corot,Diego Velazquez
167.jpg,Realism,landscape,1869,Vincent van Gogh,Gustave Courbet
43406.jpg,Impressionism,still life,1876,Edgar Degas,Paul Gauguin
28629.jpg,Northern Renaissance,religious painting,c.1520,Boris Kustodiev,Gerard David
27691.jpg,Art Informel,abstract,1959.0,Vincent van Gogh,Giuseppe Santomaso
102992.jpg,Romanticism,genre painting,1913.0,Pierre-Auguste Renoir,Charles M. Russell
37669.jpg,Surrealism,marina,,Gustave Dore,Zdislav Beksinski
98119.jpg,Impressionism,landscape,c.1872,Edgar Degas,Gustave Caillebotte
76465.jpg,Impressionism,cityscape,1889,Eugene Boudin,Childe Hassam
1757.jpg,Impressionism,flower painting,1895,Pierre-Auguste Renoir,Childe Hassam
38665.jpg,Romanticism,battle painting,1814,Edgar Degas,Francisco Goya
57895.jpg,Impressionism,portrait,1910,Camille Corot,William Merritt Chase
21390.jpg,Cubism,still life,,Vincent van Gogh,Juan Gris
95330.jpg,Romanticism,cityscape,1834,Pierre-Auguste Renoir,William Turner
41319.jpg,Impressionism,landscape,1884,Camille Pissarro,Paul Gauguin
59726.jpg,Impressionism,landscape,1890,Camille Pissarro,Alfred Sisley
81077.jpg,Symbolism,cloudscape,1907,Pierre-Auguste Renoir,Mikalojus Ciurlionis
2011.jpg,Magic Realism,genre painting,1923.0,Boris Kustodiev,Antonio Donghi
24064.jpg,Op Art,abstract,1972.0,Boris Kustodiev,Eduardo Nery
10188.jpg,High Renaissance,religious painting,c.1519,Edgar Degas,Titian
22925.jpg,Art Deco,portrait,1928,Edgar Degas,Tamara de Lempicka
17619.jpg,Cubism,,1924.0,Boris Kustodiev,Georges Valmier
46251.jpg,Realism,landscape,1911.0,Camille Pissarro,Jose Maria Velasco
46864.jpg,Pop Art,,1984,Boris Kustodiev,Paul Thek
86971.jpg,Magic Realism,landscape,1915,Camille Corot,Felix Vallotton 
74525.jpg,Baroque,allegorical painting,1704.0,Pyotr Konchalovsky,Luca Giordano
75151.jpg,Pop Art,,1984,Theophile Steinlen,Paul Thek
81655.jpg,Impressionism,cityscape,1904,Pyotr Konchalovsky,John Singer Sargent
79469.jpg,Early Renaissance,religious painting,c.1445,Boris Kustodiev,Fra Angelico
68458.jpg,Sōsaku hanga,landscape,1954,Theophile Steinlen,Toshi Yoshida
53506.jpg,Art Informel,abstract,1966,Boris Kustodiev,Corneille
27771.jpg,Expressionism,genre painting,1908,Boris Kustodiev, Wassily Kandinsky
65008.jpg,Early Renaissance,portrait,c.1475,Edgar Degas,Antonello da Messina
18841.jpg,Romanticism,landscape,1811.0,Pierre-Auguste Renoir,David Cox
82224.jpg,Northern Renaissance,portrait,1536,Edgar Degas,Hans Holbein the Younger
48377.jpg,Romanticism,landscape,1843.0,Camille Corot,David Cox
51123.jpg,Surrealism,abstract,c.1930,Theophile Steinlen,Jean Arp
24956.jpg,Neoclassicism,portrait,1769,Camille Corot,John Singleton Copley
56042.jpg,Ukiyo-e,yakusha-e,c.1801,Theophile Steinlen,Utagawa Toyokuni
1558.jpg,Realism,self-portrait,1906,Edgar Degas,John Singer Sargent
5916.jpg,Impressionism,landscape,1874,Camille Pissarro,Alfred Sisley
88575.jpg,Realism,cityscape,1877,Vincent van Gogh,John Henry Twachtman
93498.jpg,Abstract Expressionism,abstract,1982.0,Camille Corot,Eduardo Nery
91142.jpg,Early Renaissance,religious painting,,Theophile Steinlen,Domenico Ghirlandaio
44325.jpg,Impressionism,genre painting,1903,Edgar Degas,John Singer Sargent
36427.jpg,Impressionism,marina,1891,Eugene Boudin,Eugene Boudin
12516.jpg,Romanticism,cityscape,1853.0,Boris Kustodiev,David Cox
52086.jpg,Impressionism,landscape,1893,Pierre-Auguste Renoir,Pierre-Auguste Renoir
40513.jpg,Impressionism,genre painting,1907,Edgar Degas,William Merritt Chase
89601.jpg,Op Art,tessellation,1961,Vincent van Gogh,M.C. Escher
19575.jpg,Impressionism,cityscape,1883.0,Camille Pissarro,Tom Roberts
41567.jpg,Expressionism,landscape,1912,Camille Corot,Egon Schiele
74330.jpg,Realism,portrait,1896,Edgar Degas,Pablo Picasso
92642.jpg,Regionalism,interior,1944,Boris Kustodiev,Norman Rockwell
30387.jpg,Impressionism,landscape,1885,Vincent van Gogh,Paul Gauguin
83447.jpg,Pop Art,interior,1999,Theophile Steinlen,Patrick Caulfield
26047.jpg,Post-Impressionism,landscape,c.1910,Pyotr Konchalovsky,Maurice Prendergast
82837.jpg,Mannerism (Late Renaissance),quadratura,1585,Vincent van Gogh,Paolo Veronese
9326.jpg,Romanticism,portrait,1809,Pierre-Auguste Renoir,Orest Kiprensky
56464.jpg,Symbolism,mythological painting,1909,Edgar Degas,Mikalojus Ciurlionis
49680.jpg,Romanticism,marina,1811.0,Vincent van Gogh,David Cox
27326.jpg,Romanticism,literary painting,1855,Edgar Degas,Dante Gabriel Rossetti
26957.jpg,High Renaissance,allegorical painting,1511,Theophile Steinlen,Raphael
66200.jpg,Impressionism,genre painting,,Theophile Steinlen,Philip Wilson Steer
42799.jpg,Impressionism,cityscape,1892,Camille Pissarro,Childe Hassam
331.jpg,Romanticism,marina,1860.0,Eugene Boudin,William Bradford
3260.jpg,Impressionism,portrait,1883.0,Vincent van Gogh,Tom Roberts
27156.jpg,Expressionism,portrait,,Boris Kustodiev,Ernst Ludwig Kirchner
36421.jpg,Mannerism (Late Renaissance),religious painting,1525,Theophile Steinlen,Jacopo Pontormo
47913.jpg,Impressionism,genre painting,1883,Camille Corot,Childe Hassam
75120.jpg,Pointillism,portrait,,Vincent van Gogh,Henri Martin
9372.jpg,Baroque,portrait,,Vincent van Gogh,Rembrandt
3907.jpg,Northern Renaissance,religious painting,,Edgar Degas,Gerard David
63135.jpg,Intimism,genre painting,1909,Edgar Degas,Felix Vallotton 
24396.jpg,Orientalism,genre painting,1838,Eugene Boudin,Eugene Delacroix
64158.jpg,Realism,landscape,1865,Eugene Boudin,Gustave Courbet
80543.jpg,High Renaissance,religious painting,1512,Pyotr Konchalovsky,Michelangelo
8865.jpg,Realism,flower painting,1878,Vincent van Gogh,Henri Fantin-Latour
32510.jpg,Magic Realism,symbolic painting,,Boris Kustodiev,Eyvind Earle
19245.jpg,Post-Impressionism,portrait,1890,Pyotr Konchalovsky,Paul Gauguin
4826.jpg,Color Field Painting,abstract,1958.0,Edgar Degas,Morris Louis
30429.jpg,Realism,portrait,1881,Edgar Degas,John Singer Sargent
56899.jpg,Impressionism,portrait,1899,Pierre-Auguste Renoir,William Merritt Chase
50544.jpg,Romanticism,history painting,1812.0,Camille Corot,Thomas Sully
20873.jpg,Northern Renaissance,religious painting,c.1499,Vincent van Gogh,Jean Hey
82058.jpg,Art Nouveau (Modern),design,1901.0,Vincent van Gogh,Charles Rennie Mackintosh
76187.jpg,Romanticism,marina,1862.0,Eugene Boudin,William Bradford
9563.jpg,Impressionism,genre painting,c.1905,Camille Pissarro,John Singer Sargent
17098.jpg,Romanticism,cityscape,,Camille Pissarro,Cornelis Springer
92107.jpg,Impressionism,genre painting,1881,Pierre-Auguste Renoir,Berthe Morisot
39572.jpg,Impressionism,landscape,c.1908,Edgar Degas,John Singer Sargent
45325.jpg,Post-Impressionism,genre painting,1896,Camille Corot,Felix Vallotton 
89632.jpg,Impressionism,landscape,1891,Boris Kustodiev,Childe Hassam
31836.jpg,Magic Realism,landscape,,Vincent van Gogh,Eyvind Earle
94876.jpg,Neoplasticism,abstract,1930.0,Theophile Steinlen,Piet Mondrian
30439.jpg,Art Nouveau (Modern),design,,Theophile Steinlen,Aubrey Beardsley
37351.jpg,Abstract Expressionism,figurative,,Pyotr Konchalovsky,Jean-Paul Riopelle
68218.jpg,Impressionism,genre painting,1883,Edgar Degas,Berthe Morisot
58891.jpg,Baroque,allegorical painting,,Pierre-Auguste Renoir,Jacob Jordaens
22771.jpg,Realism,marina,1866,Boris Kustodiev,James McNeill Whistler
95445.jpg,Post-Impressionism,portrait,c.1891,Edgar Degas,Paul Gauguin
83683.jpg,Baroque,veduta,1730,Camille Corot,Canaletto
16498.jpg,Romanticism,portrait,1815,Boris Kustodiev,Orest Kiprensky
87138.jpg,Impressionism,genre painting,,Edgar Degas,Giovanni Boldini
16175.jpg,Rococo,genre painting,c.1793,Edgar Degas,Giovanni Domenico Tiepolo
70596.jpg,Baroque,portrait,1635,Camille Corot,Diego Velazquez
55588.jpg,Impressionism,genre painting,1889.0,Edgar Degas,Tom Roberts
78233.jpg,Romanticism,religious painting,1821,Gustave Dore,Eugene Delacroix
65865.jpg,Impressionism,portrait,1898,Camille Pissarro,Camille Pissarro
12872.jpg,Post-Impressionism,landscape,,Camille Pissarro,Henri Martin
9015.jpg,Expressionism,nude painting (nu),,Vincent van Gogh,Ernst Ludwig Kirchner
11104.jpg,Impressionism,genre painting,,Edgar Degas,Joaquín Sorolla
29275.jpg,Post-Impressionism,cityscape,,Camille Pissarro,Gustave Loiseau
72392.jpg,Impressionism,landscape,1880,Vincent van Gogh,Alfred Sisley
6796.jpg,Impressionism,genre painting,1896,Edgar Degas,Edgar Degas
97474.jpg,Surrealism,symbolic painting,,Edgar Degas,Zdislav Beksinski
14506.jpg,Rococo,religious painting,,Vincent van Gogh,Giovanni Battista Tiepolo
60406.jpg,Surrealism,figurative,1936.0,Boris Kustodiev,Vajda Lajos
94624.jpg,Impressionism,landscape,c.1895,Camille Pissarro,Camille Pissarro
49061.jpg,Magic Realism,landscape,1983.0,Boris Kustodiev,Eyvind Earle
19897.jpg,Expressionism,wildlife painting,1913,Vincent van Gogh,Franz Marc
61159.jpg,Baroque,religious painting,c.1628,Pierre-Auguste Renoir,Peter Paul Rubens
14835.jpg,Mannerism (Late Renaissance),religious painting,1558,Camille Corot,Tintoretto
83823.jpg,Symbolism,mythological painting,c.1872,Pierre-Auguste Renoir,George Frederick Watts
40067.jpg,Realism,landscape,,Camille Pissarro,Jose Maria Velasco
28305.jpg,Magic Realism,cityscape,,Boris Kustodiev,Eyvind Earle
79512.jpg,Baroque,genre painting,,Eugene Boudin,Adriaen van de Venne
103002.jpg,Impressionism,landscape,1887,Camille Pissarro,William Merritt Chase
90756.jpg,Expressionism,illustration,1937.0,Gustave Dore,Lynd Ward
86567.jpg,Naïve Art (Primitivism),landscape,1857,Vincent van Gogh,Edward Hicks
98839.jpg,Impressionism,still life,c.1878,Edgar Degas,Gustave Caillebotte
37698.jpg,Expressionism,illustration,1936.0,Gustave Dore,Lynd Ward
87610.jpg,Rococo,portrait,1768,Boris Kustodiev,Carl-Ludwig Johann Christineck
47602.jpg,Impressionism,genre painting,c.1879,Pyotr Konchalovsky,Edouard Manet
49943.jpg,Realism,landscape,1864,Eugene Boudin,Camille Pissarro
1977.jpg,Expressionism,nude painting (nu),1908.0,Edgar Degas,Jules Pascin
45864.jpg,Romanticism,landscape,1870.0,Eugene Boudin,William Bradford
74003.jpg,Impressionism,portrait,1878,Pierre-Auguste Renoir,Pierre-Auguste Renoir
779.jpg,Mannerism (Late Renaissance),religious painting,1544,Pierre-Auguste Renoir,Titian
33189.jpg,Impressionism,landscape,c.1876,Camille Pissarro,Gustave Caillebotte
27851.jpg,Impressionism,portrait,1873,Pierre-Auguste Renoir,Pierre-Auguste Renoir
28038.jpg,Realism,landscape,c.1824,Camille Corot,Camille Corot
75396.jpg,Romanticism,landscape,1874.0,Vincent van Gogh,Thomas Hill
76168.jpg,Early Renaissance,religious painting,1448,Boris Kustodiev,Fra Angelico
65201.jpg,Impressionism,genre painting,c.1883,Edgar Degas,William Merritt Chase
80221.jpg,Magic Realism,landscape,1982.0,Vincent van Gogh,Eyvind Earle
103042.jpg,Romanticism,illustration,,Pyotr Konchalovsky,Gustave Dore
87726.jpg,Impressionism,portrait,c.1868,Edgar Degas,Edgar Degas
5811.jpg,Impressionism,genre painting,1894,Edgar Degas,Berthe Morisot
18960.jpg,Mannerism (Late Renaissance),religious painting,1581,Edgar Degas,Tintoretto
36393.jpg,Impressionism,cityscape,,Camille Pissarro,Henri Martin
63063.jpg,Pop Art,portrait,1962.0,Pyotr Konchalovsky,Pauline Boty
87148.jpg,Realism,genre painting,,Eugene Boudin,Giovanni Boldini
96124.jpg,Cubism,portrait,1919,Boris Kustodiev,Juan Gris
13237.jpg,Cubism,,1925.0,Boris Kustodiev,Georges Valmier
81041.jpg,Expressionism,nude painting (nu),2000,Pierre-Auguste Renoir,Lucian Freud
41746.jpg,Divisionism,landscape,,Vincent van Gogh,Henri Martin
14884.jpg,High Renaissance,religious painting,,Edgar Degas,Raphael
10638.jpg,Art Nouveau (Modern),genre painting,,Pierre-Auguste Renoir,Carl Larsson
82173.jpg,Divisionism,cityscape,,Edgar Degas,Henri Martin
65571.jpg,Mannerism (Late Renaissance),religious painting,1555,Theophile Steinlen,Paolo Veronese
101379.jpg,Art Nouveau (Modern),nude painting (nu),,Theophile Steinlen,Aubrey Beardsley
10911.jpg,Romanticism,literary painting,1897.0,Edgar Degas,Edwin Austin Abbey
26605.jpg,,religious painting,,Boris Kustodiev,James Tissot
101211.jpg,Romanesque,miniature,,Boris Kustodiev,Hildegard of Bingen
52474.jpg,Impressionism,cityscape,1893,Boris Kustodiev,Childe Hassam
58989.jpg,Realism,genre painting,1876,Boris Kustodiev,Vasily Perov
36522.jpg,Impressionism,landscape,c.1910,Edgar Degas,John Singer Sargent
2753.jpg,Luminism,landscape,c.1872,Camille Corot,Albert Bierstadt
26087.jpg,Baroque,veduta,c.1725,Camille Corot,Canaletto
70714.jpg,Impressionism,landscape,1904,Pierre-Auguste Renoir,John Singer Sargent
77325.jpg,Impressionism,cityscape,1889,Eugene Boudin,Childe Hassam
80608.jpg,Op Art,tessellation,1961,Theophile Steinlen,M.C. Escher
89562.jpg,Baroque,religious painting,1628,Edgar Degas,Francisco de Zurbaran
101485.jpg,Impressionism,flower painting,1892,Edgar Degas,Gustave Caillebotte
58935.jpg,Realism,landscape,c.1840,Camille Corot,Camille Corot
90356.jpg,Symbolism,landscape,1929,Vincent van Gogh,Martiros Saryan
46397.jpg,Mannerism (Late Renaissance),religious painting,1578,Theophile Steinlen,Tintoretto
45072.jpg,Romanticism,history painting,1887,Edgar Degas,John William Waterhouse
87885.jpg,Romanticism,portrait,1819,Boris Kustodiev,Orest Kiprensky
3013.jpg,Impressionism,genre painting,c.1872,Pierre-Auguste Renoir,Pierre-Auguste Renoir
18318.jpg,Impressionism,landscape,,Camille Pissarro,T. C. Steele
99808.jpg,Early Renaissance,religious painting,1445,Theophile Steinlen,Filippo Lippi
23736.jpg,Baroque,self-portrait,c.1640,Edgar Degas,Diego Velazquez
33960.jpg,Rococo,portrait,c.1777,Camille Corot,Thomas Gainsborough
71719.jpg,Baroque,portrait,1628,Vincent van Gogh,Peter Paul Rubens
90688.jpg,Art Deco,design,,Theophile Steinlen,Erte
41701.jpg,Magic Realism,landscape,1990.0,Boris Kustodiev,Eyvind Earle
44074.jpg,Impressionism,genre painting,1889,Vincent van Gogh,Childe Hassam
31404.jpg,Naïve Art (Primitivism),genre painting,1937.0,Camille Pissarro,Andre Bauchant
19293.jpg,Impressionism,genre painting,c.1882,Edgar Degas,Edgar Degas
4930.jpg,Divisionism,genre painting,,Vincent van Gogh,Henri Martin
30872.jpg,Expressionism,portrait,1941.0,Boris Kustodiev,Candido Portinari
76372.jpg,Impressionism,landscape,1882,Camille Pissarro,Alfred Sisley
49981.jpg,Impressionism,genre painting,1890,Edgar Degas,Berthe Morisot
85099.jpg,Realism,landscape,1855,Vincent van Gogh,Charles-Francois Daubigny
39488.jpg,Contemporary Realism,,,Camille Pissarro,garrett ames ledbetter
100532.jpg,Cubism,animal painting,1913,Pyotr Konchalovsky,Franz Marc
28209.jpg,Impressionism,nude painting (nu),c.1890,Edgar Degas,Edgar Degas
59173.jpg,High Renaissance,religious painting,1507,Edgar Degas,Raphael
53691.jpg,Early Renaissance,religious painting,c.1478,Theophile Steinlen,Leonardo da Vinci
72198.jpg,Magic Realism,cityscape,,Vincent van Gogh,Eric Ravilious
98550.jpg,Magic Realism,symbolic painting,1990.0,Boris Kustodiev,Eyvind Earle
55124.jpg,Rococo,portrait,1791,Boris Kustodiev,Dmitry Levitzky
5688.jpg,Early Renaissance,sketch and study,1470.0,Vincent van Gogh,Jacopo Bellini
65411.jpg,Impressionism,portrait,1905,Pierre-Auguste Renoir,Pierre-Auguste Renoir
51282.jpg,Impressionism,religious painting,1914,Vincent van Gogh,Henry Ossawa Tanner
59046.jpg,Impressionism,genre painting,c.1903,Camille Pissarro,Maurice Prendergast
52519.jpg,,,1988,Pyotr Konchalovsky,Istvan Molnar
70037.jpg,Baroque,mythological painting,1641,Pyotr Konchalovsky,Pietro da Cortona
6697.jpg,Realism,sketch and study,1898,Vincent van Gogh,Henry Ossawa Tanner
91712.jpg,Impressionism,landscape,1875,Camille Pissarro,Alfred Sisley
35182.jpg,High Renaissance,religious painting,,Pierre-Auguste Renoir,Titian
83456.jpg,Op Art,tessellation,1956,Gustave Dore,M.C. Escher
