Filename,Date,Genre,Style,Predictions,Real Values
13101.jpg,,design,Orphism,Pablo Picasso,Sonia Delaunay
24266.jpg,,landscape,Realism,Vincent van Gogh,Konstantin Vasilyev
42500.jpg,1917,religious painting,Expressionism,Pablo Picasso,Max Beckmann
24379.jpg,1885,genre painting,Realism,Childe Hassam,James Tissot
52160.jpg,1450,portrait,Northern Renaissance,John Singer Sargent,Rogier van der Weyden
13614.jpg,1971.0,genre painting,Surrealism,John Singer Sargent,Paul Delvaux
31259.jpg,1910,genre painting,Naïve Art (Primitivism),Vincent van Gogh,Henri Rousseau
5675.jpg,c.1660,portrait,Baroque,Albrecht Durer,Frans Hals
14557.jpg,1916.0,landscape,Art Nouveau (Modern),Theophile Steinlen,Ivan Bilibin
46823.jpg,1914,landscape,Orphism,Pyotr Konchalovsky,August Macke
67077.jpg,1914,landscape,Fauvism,Boris Kustodiev,August Macke
24639.jpg,c.1907,wildlife painting,Naïve Art (Primitivism),Vincent van Gogh,Henri Rousseau
52857.jpg,1947,symbolic painting,Surrealism,Pablo Picasso,Rene Magritte
15643.jpg,,religious painting,Mannerism (Late Renaissance),Albrecht Durer,Jacopo Pontormo
60546.jpg,c.1882,portrait,Realism,Pablo Picasso,Vincent van Gogh
18779.jpg,,portrait,Impressionism,Boris Kustodiev,Edgar Degas
47525.jpg,1876,genre painting,Impressionism,Claude Monet,Pierre-Auguste Renoir
41526.jpg,c.1850,genre painting,Biedermeier,John Singer Sargent,Carl Spitzweg
23986.jpg,1707.0,flower painting,Ink and wash painting,Pablo Picasso,Shitao
30320.jpg,c.1640,portrait,Baroque,Albrecht Durer,Cornelis de Vos
76627.jpg,,religious painting,Northern Renaissance,Albrecht Durer,Albrecht Durer
101123.jpg,,mythological painting,Symbolism,Albrecht Durer,Gustave Moreau
28749.jpg,c.1886,sketch and study,Post-Impressionism,Vincent van Gogh,Vincent van Gogh
19259.jpg,,religious painting,Northern Renaissance,Albrecht Durer,Albrecht Durer
67422.jpg,c.1878,portrait,Impressionism,Vincent van Gogh,Paul Cezanne
13593.jpg,,illustration,International Gothic,Albrecht Durer,Limbourg brothers
58616.jpg,,symbolic painting,Symbolism,Boris Kustodiev,Ferdinand Hodler
56667.jpg,1983.0,figurative,Neo-Expressionism,Henri Matisse,Jean-Michel Basquiat
76040.jpg,,portrait,Rococo,John Singer Sargent,Joshua Reynolds
27110.jpg,1735,genre painting,Baroque,Rembrandt,William Hogarth
5784.jpg,1916,portrait,Expressionism,Pablo Picasso,Amedeo Modigliani
65530.jpg,1455,religious painting,Early Renaissance,Pablo Picasso,Andrea Mantegna
26230.jpg,,sketch and study,Realism,Rembrandt,Thomas Eakins
14299.jpg,,genre painting,Orientalism,Rembrandt,Honore Daumier
46431.jpg,1907,cityscape,Expressionism,Childe Hassam,Richard Gerstl
94623.jpg,1983.0,figurative,Neo-Expressionism,Pablo Picasso,Jean-Michel Basquiat
19164.jpg,,religious painting,Early Renaissance,Albrecht Durer,Domenico Ghirlandaio
25187.jpg,1983.0,figurative,Neo-Expressionism,Pablo Picasso,Jean-Michel Basquiat
28244.jpg,,design,Art Deco,Gustave Dore,Erte
49233.jpg,1941,genre painting,Regionalism,Albrecht Durer,Norman Rockwell
4828.jpg,1807,portrait,Neoclassicism,Rembrandt,Pierre-Paul Prud'hon
73239.jpg,1707.0,genre painting,Ink and wash painting,Vincent van Gogh,Shitao
18938.jpg,1921.0,allegorical painting,Verism,Henri Matisse,Otto Dix
8396.jpg,1873,cityscape,Impressionism,Claude Monet,Claude Monet
27123.jpg,,portrait,Northern Renaissance,Albrecht Durer,Albrecht Durer
14093.jpg,,sketch and study,Northern Renaissance,Pablo Picasso,Albrecht Durer
17087.jpg,1841,portrait,Neoclassicism,John Singer Sargent,Franz Xaver Winterhalter
93092.jpg,1926,religious painting,Symbolism,Ivan Aivazovsky,Alphonse Mucha
26148.jpg,1662,genre painting,Baroque,John Singer Sargent,Gabriel Metsu
80769.jpg,1919,portrait,Expressionism,Henri Matisse,Henri Matisse
101829.jpg,1914,portrait,Cubism,Pablo Picasso,Roger de La Fresnaye
30141.jpg,1913,landscape,Post-Impressionism,Claude Monet,Ferdinand Hodler
44011.jpg,c.1645,still life,Baroque,Camille Corot,Isaac van Ostade
40625.jpg,1983.0,figurative,Neo-Expressionism,Pablo Picasso,Jean-Michel Basquiat
17425.jpg,1639,religious painting,Baroque,Rembrandt,Francisco de Zurbaran
54710.jpg,1639,religious painting,Baroque,Edgar Degas,Francisco de Zurbaran
96468.jpg,c.1605,portrait,Mannerism (Late Renaissance),Albrecht Durer,El Greco
45848.jpg,1634,mythological painting,Baroque,Pablo Picasso,Francisco de Zurbaran
82771.jpg,1887,portrait,Japonism,Henri Matisse,Vincent van Gogh
101374.jpg,1915,portrait,Expressionism,Pyotr Konchalovsky,Emil Nolde
18069.jpg,,flower painting,Northern Renaissance,Pablo Picasso,Albrecht Durer
48816.jpg,,portrait,High Renaissance,Henri Matisse,Andrea Solario
43353.jpg,1894,illustration,Art Nouveau (Modern),Pablo Picasso,Aubrey Beardsley
9700.jpg,1958,still life,Expressionism,Camille Pissarro,Balthus
61929.jpg,1950.0,illustration,Art Brut,Vincent van Gogh,Henry Darger
77679.jpg,1982.0,abstract,Neo-Expressionism,Pablo Picasso,Jean-Michel Basquiat
8241.jpg,1828,portrait,Realism,Edgar Degas,Camille Corot
52214.jpg,,mythological painting,Mannerism (Late Renaissance),Albrecht Durer,Paolo Veronese
35647.jpg,1876,portrait,Realism,John Singer Sargent,Ivan Kramskoy
84447.jpg,1920,abstract,Abstract Art,Pablo Picasso, Wassily Kandinsky
99523.jpg,1885.0,portrait,Impressionism,Pablo Picasso,Edvard Munch
52860.jpg,1889,landscape,Post-Impressionism,Vincent van Gogh,Vincent van Gogh
35881.jpg,1983.0,figurative,Neo-Expressionism,Pablo Picasso,Jean-Michel Basquiat
92417.jpg,c.1597,religious painting,Baroque,Albrecht Durer,Caravaggio
13749.jpg,,illustration,International Gothic,Albrecht Durer,Limbourg brothers
18543.jpg,1717,genre painting,Rococo,Ivan Aivazovsky,Antoine Watteau
58454.jpg,1968,genre painting,Surrealism,Pablo Picasso,Marc Chagall
93678.jpg,,portrait,Realism,John Singer Sargent,Thomas Eakins
50574.jpg,1910,portrait,Impressionism,Pablo Picasso,Max Liebermann
55134.jpg,c.1872,mythological painting,Symbolism,John Singer Sargent,Gustave Moreau
14454.jpg,1890,landscape,Realism,Vincent van Gogh,Ferdinand Hodler
29659.jpg,c.1460,portrait,Northern Renaissance,Vincent van Gogh,Jean Fouquet
13566.jpg,1976,symbolic painting,Surrealism,Pablo Picasso,Salvador Dali
32066.jpg,1606,religious painting,Baroque,Rembrandt,Caravaggio
94113.jpg,,mythological painting,Art Deco,Boris Kustodiev,Erte
4529.jpg,1928.0,flower painting,Precisionism,Henri Matisse,Georgia O'Keeffe
58831.jpg,1886,landscape,Impressionism,Camille Pissarro,Claude Monet
21753.jpg,,portrait,Rococo,Albrecht Durer,Antoine Pesne
85076.jpg,1900,flower painting,Impressionism,Claude Monet,Claude Monet
65791.jpg,1877,portrait,Realism,Albrecht Durer,James Tissot
21522.jpg,1888,sketch and study,Post-Impressionism,Albrecht Durer,Vincent van Gogh
72120.jpg,1428,religious painting,Northern Renaissance,Henri Matisse,Joseph as a medieval carpenter
90252.jpg,1450,miniature,Early Renaissance,Theophile Steinlen,Andrea Mantegna
34579.jpg,1890,landscape,Post-Impressionism,Vincent van Gogh,Vincent van Gogh
100092.jpg,1885,portrait,Romanticism,Rembrandt,Konstantin Makovsky
10386.jpg,1801,portrait,Rococo,Camille Corot,Vladimir Borovikovsky
8254.jpg,,abstract,Color Field Painting,Henri Matisse,Richard Diebenkorn
60336.jpg,1898,portrait,Realism,John Singer Sargent,William-Adolphe Bouguereau
84562.jpg,1945,portrait,Surrealism,Pablo Picasso,Salvador Dali
27920.jpg,,religious painting,High Renaissance,Albrecht Durer,Andrea Solario
50939.jpg,c.1744,genre painting,Rococo,Albrecht Durer,William Hogarth
12301.jpg,1895,landscape,Realism,Gustave Dore,Isaac Levitan
60230.jpg,c.1978,nude painting (nu),Expressionism,Pablo Picasso,Balthus
97830.jpg,1500,mythological painting,High Renaissance,Vincent van Gogh,Andrea Mantegna
8970.jpg,1937.0,abstract,Abstract Art,Pablo Picasso,John Ferren
67198.jpg,1305,religious painting,Proto Renaissance,Albrecht Durer,Duccio
36643.jpg,1634,mythological painting,Baroque,Edgar Degas,Francisco de Zurbaran
91729.jpg,1949,figurative,Surrealism,Pablo Picasso,Joan Miro
69832.jpg,1770,animal painting,Romanticism,Ivan Aivazovsky,George Stubbs
59399.jpg,,mythological painting,Symbolism,Rembrandt,Henri Fantin-Latour
62466.jpg,1776,portrait,Neoclassicism,Rembrandt,Joseph Wright
100623.jpg,,still life,Expressionism,Boris Kustodiev,Pierre Tal-Coat
21632.jpg,1637,mythological painting,Tenebrism,Albrecht Durer,Jusepe de Ribera
35601.jpg,1884,nude painting (nu),Neoclassicism,John Singer Sargent,William-Adolphe Bouguereau
60380.jpg,1665.0,religious painting,Baroque,Rembrandt,Luca Giordano
31754.jpg,1867,genre painting,Romanticism,Albrecht Durer,William Holman Hunt
19043.jpg,1911,genre painting,Cubism,Pablo Picasso,Roger de La Fresnaye
1048.jpg,,still life,Naïve Art (Primitivism),Pablo Picasso,Henri Rousseau
54950.jpg,1866,landscape,Impressionism,Gustave Dore,Claude Monet
15708.jpg,,caricature,Romanticism,Albrecht Durer,Thomas Couture
5622.jpg,1755,genre painting,Rococo,Boris Kustodiev,William Hogarth
15063.jpg,c.1890,religious painting,Symbolism,Pablo Picasso,Franz Stuck
52781.jpg,,portrait,Rococo,Rembrandt,Vladimir Borovikovsky
21049.jpg,1899,landscape,Impressionism,Claude Monet,Claude Monet
94427.jpg,,portrait,Rococo,Rembrandt,Vladimir Borovikovsky
74385.jpg,,sketch and study,Post-Impressionism,Vincent van Gogh,Vincent van Gogh
7133.jpg,1848,portrait,Realism,John Singer Sargent,Adolph Menzel
27418.jpg,1813,portrait,Rococo,Rembrandt,Vladimir Borovikovsky
10629.jpg,,abstract,Color Field Painting,Pablo Picasso,Richard Diebenkorn
98916.jpg,1925.0,cityscape,Expressionism,Henri Matisse,Gustave de Smet
102048.jpg,1943,portrait,Social Realism,Rembrandt,Norman Rockwell
27546.jpg,1841.0,literary painting,Romanticism,Rembrandt,Theodore Chasseriau
43135.jpg,1620,portrait,Baroque,Vincent van Gogh,Jacob Jordaens
21764.jpg,1877,genre painting,Impressionism,Edgar Degas,Edgar Degas
77961.jpg,,portrait,Ukiyo-e,Pablo Picasso,Utagawa Kuniyoshi
97263.jpg,1882,portrait,Impressionism,Pablo Picasso,Claude Monet
35323.jpg,1903,genre painting,Post-Impressionism,Vincent van Gogh,Paul Gauguin
39365.jpg,c.1899,cityscape,Impressionism,Henri Matisse,Maurice Prendergast
64174.jpg,,portrait,Rococo,John Singer Sargent,Vladimir Borovikovsky
93208.jpg,c.1899,marina,Naïve Art (Primitivism),Ivan Aivazovsky,Henri Rousseau
103245.jpg,,genre painting,Romanticism,John Singer Sargent,Sir Lawrence Alma-Tadema
26469.jpg,1938,symbolic painting,Surrealism,Zdislav Beksinski,Salvador Dali
95988.jpg,1912,landscape,Symbolism,Pablo Picasso,Ferdinand Hodler
50841.jpg,c.1895,sketch and study,Realism,Pablo Picasso,Nicholas Roerich
18111.jpg,1890,cityscape,Post-Impressionism,Vincent van Gogh,Vincent van Gogh
2639.jpg,,portrait,Rococo,Albrecht Durer,Thomas Gainsborough
80385.jpg,1885,landscape,Impressionism,Claude Monet,Claude Monet
102516.jpg,,landscape,Tonalism,Ivan Aivazovsky,Xavier Martinez
58505.jpg,,allegorical painting,Art Nouveau (Modern),Pablo Picasso,Aubrey Beardsley
88108.jpg,1880.0,history painting,Romanticism,Camille Pissarro,Viktor Vasnetsov
13012.jpg,,symbolic painting,Surrealism,Zdislav Beksinski,Salvador Dali
4083.jpg,1943,landscape,Expressionism,Gustave Dore,Balthus
2596.jpg,,symbolic painting,Surrealism,Boris Kustodiev,Salvador Dali
96612.jpg,,portrait,Ukiyo-e,Claude Monet,Utagawa Kuniyoshi
23920.jpg,1893,genre painting,Post-Impressionism,Pyotr Konchalovsky,Paul Cezanne
71124.jpg,1912,landscape,Expressionism,Henri Matisse,Henri Matisse
47672.jpg,1891,landscape,Impressionism,Childe Hassam,Childe Hassam
9359.jpg,,landscape,Post-Impressionism,Henri Matisse,Henri Matisse
91068.jpg,1460,history painting,Northern Renaissance,Boris Kustodiev,Jean Fouquet
15447.jpg,,sketch and study,Realism,Pablo Picasso,Theodor Severin Kittelsen
28803.jpg,c.1670,cityscape,Baroque,Camille Pissarro,Adriaen van de Velde
103099.jpg,,portrait,Romanticism,Rembrandt,Pierre-Paul Prud'hon
89992.jpg,1883,landscape,Impressionism,Claude Monet,Claude Monet
62856.jpg,,genre painting,Art Deco,Henri Matisse,Erte
31644.jpg,,portrait,Expressionism,Henri Matisse,Richard Diebenkorn
5947.jpg,1879,symbolic painting,Symbolism,Pablo Picasso,Odilon Redon
61969.jpg,1927,portrait,Expressionism,Henri Matisse,Henri Matisse
24146.jpg,,portrait,Impressionism,Edgar Degas,William Merritt Chase
19430.jpg,,genre painting,Orientalism,Camille Corot,Edwin Lord Weeks
95759.jpg,1855,landscape,Realism,Camille Corot,Camille Corot
77984.jpg,1858,genre painting,Impressionism,Zdislav Beksinski,Thomas Eakins
77556.jpg,1885,landscape,Impressionism,Claude Monet,Claude Monet
53105.jpg,c.1509,religious painting,High Renaissance,Albrecht Durer,Lorenzo Lotto
76382.jpg,,interior,Romanticism,Rembrandt,William Turner
3132.jpg,,portrait,Baroque,Rembrandt,Agostino Carracci
88050.jpg,1641,portrait,Baroque,John Singer Sargent,Frans Hals
47499.jpg,1707.0,flower painting,Ink and wash painting,Theophile Steinlen,Shitao
95083.jpg,,landscape,Romanticism,Ivan Aivazovsky,Caspar David Friedrich
44222.jpg,1932,symbolic painting,Surrealism,Henri Matisse,Salvador Dali
50208.jpg,1871.0,landscape,Realism,Ivan Aivazovsky,Efim Volkov
91936.jpg,,symbolic painting,Surrealism,Zdislav Beksinski,Zdislav Beksinski
41631.jpg,1817,portrait,Romanticism,Rembrandt,Orest Kiprensky
63414.jpg,1844,portrait,Romanticism,Camille Corot,Camille Corot
9477.jpg,,cityscape,Expressionism,Pablo Picasso,Louisa Matthiasdottir
90710.jpg,1981.0,figurative,Neo-Expressionism,Pablo Picasso,Jean-Michel Basquiat
93555.jpg,1672,cityscape,Baroque,Camille Corot,Adriaen van de Velde
85653.jpg,,portrait,Neoclassicism,Albrecht Durer,Jean Auguste Dominique Ingres
103088.jpg,1940,landscape,Surrealism,Claude Monet,Salvador Dali
56424.jpg,c.1885,portrait,Realism,Vincent van Gogh,Vincent van Gogh
95314.jpg,1436,religious painting,Northern Renaissance,Boris Kustodiev,Jan van Eyck
102799.jpg,1885,portrait,Realism,Zdislav Beksinski,Vincent van Gogh
74842.jpg,1964,still life,Surrealism,Pablo Picasso,Rene Magritte
80859.jpg,c.1880,self-portrait,Impressionism,Boris Kustodiev,Gustave Caillebotte
81615.jpg,,genre painting,Expressionism,Henri Matisse,Henri Matisse
50508.jpg,1800,nude painting (nu),Neoclassicism,Pablo Picasso,Pierre-Paul Prud'hon
74127.jpg,,portrait,Ukiyo-e,Pablo Picasso,Utagawa Kuniyoshi
28932.jpg,1886,landscape,Impressionism,Claude Monet,Claude Monet
15446.jpg,1892,landscape,Impressionism,Vincent van Gogh,Gustave Caillebotte
19238.jpg,1955,landscape,Surrealism,Pablo Picasso,Rene Magritte
53941.jpg,1920,religious painting,Surrealism,Pablo Picasso,Paul Klee
58167.jpg,c.1873,mythological painting,Neoclassicism,John Singer Sargent,William-Adolphe Bouguereau
12771.jpg,1938,landscape,Surrealism,Zdislav Beksinski,Salvador Dali
55699.jpg,c.1726,history painting,Rococo,Rembrandt,Giovanni Battista Tiepolo
84986.jpg,1955,genre painting,Expressionism,Zdislav Beksinski,Balthus
34263.jpg,1865.0,landscape,Romanticism,Childe Hassam,James Hamilton
34760.jpg,1889,mythological painting,Romanticism,John Singer Sargent,Sir Lawrence Alma-Tadema
34072.jpg,,portrait,Impressionism,Camille Corot,John Singer Sargent
96722.jpg,1441,religious painting,Northern Renaissance,Zdislav Beksinski,Jan van Eyck
62437.jpg,1949,symbolic painting,Surrealism,Boris Kustodiev,Balthus
61741.jpg,c.1870,landscape,Realism,Ivan Aivazovsky,Jean-Francois Millet
102095.jpg,c.1729,genre painting,Rococo,Rembrandt,William Hogarth
70657.jpg,1884,landscape,Impressionism,Camille Pissarro,Claude Monet
17934.jpg,1872,landscape,Impressionism,Claude Monet,Claude Monet
16805.jpg,1887,cityscape,Post-Impressionism,Vincent van Gogh,Vincent van Gogh
63040.jpg,,portrait,Expressionism,Pablo Picasso,Henri Matisse
87645.jpg,1928.0,mythological painting,Art Nouveau (Modern),Albrecht Durer,Akseli Gallen-Kallela
26633.jpg,,genre painting,Impressionism,Albrecht Durer,Max Kurzweil
26160.jpg,1889,cityscape,Post-Impressionism,Vincent van Gogh,Vincent van Gogh
77782.jpg,1982,symbolic painting,Surrealism,Pablo Picasso,Salvador Dali
84542.jpg,1873.0,self-portrait,Realism,John Singer Sargent,Viktor Vasnetsov
81934.jpg,1919,portrait,Expressionism,Henri Matisse,Henri Matisse
48545.jpg,1753,religious painting,Rococo,Albrecht Durer,Giovanni Battista Tiepolo
64801.jpg,1890,landscape,Realism,Camille Pissarro,Isaac Levitan
5981.jpg,,portrait,Verism,Vincent van Gogh,Otto Dix
10419.jpg,1565,mythological painting,Mannerism (Late Renaissance),John Singer Sargent,Titian
31258.jpg,1796,portrait,Rococo,Rembrandt,Vladimir Borovikovsky
33258.jpg,1919,nude painting (nu),Expressionism,Pablo Picasso,Henri Matisse
37541.jpg,1925,cityscape,Impressionism,Boris Kustodiev,Paul Signac
80815.jpg,1932,genre painting,Surrealism,Pablo Picasso,Max Beckmann
69114.jpg,,symbolic painting,Surrealism,Zdislav Beksinski,Zdislav Beksinski
69558.jpg,1857,portrait,Realism,Rembrandt,Gustave Courbet
89090.jpg,1879,cityscape,Impressionism,Childe Hassam,Claude Monet
85791.jpg,,portrait,Neoclassicism,Albrecht Durer,Jean Auguste Dominique Ingres
88847.jpg,1653,interior,Baroque,Rembrandt,Adriaen van Ostade
86923.jpg,1888,marina,Post-Impressionism,Camille Pissarro,Vincent van Gogh
33254.jpg,,genre painting,Regionalism,Pablo Picasso,Norman Rockwell
67319.jpg,,portrait,Northern Renaissance,Albrecht Durer,Albrecht Durer
94646.jpg,1521,sketch and study,Northern Renaissance,Albrecht Durer,Albrecht Durer
47973.jpg,c.1745,genre painting,Rococo,Albrecht Durer,William Hogarth
46199.jpg,c.1740,sketch and study,Rococo,Albrecht Durer,Joshua Reynolds
24048.jpg,1894,landscape,Realism,Childe Hassam,Aleksey Savrasov
57253.jpg,1906,genre painting,Post-Impressionism,Pablo Picasso,Pablo Picasso
41345.jpg,1910,nude painting (nu),Cubism,Henri Matisse,Roger de La Fresnaye
64493.jpg,1915,self-portrait,Verism,Vincent van Gogh,Max Beckmann
91335.jpg,,genre painting,Romanticism,John Singer Sargent,Sir Lawrence Alma-Tadema
41952.jpg,1986,nude painting (nu),Expressionism,Pablo Picasso,Balthus
26036.jpg,,self-portrait,Baroque,Camille Corot,Jan Steen
5962.jpg,1876,portrait,Impressionism,Pierre-Auguste Renoir,Pierre-Auguste Renoir
94272.jpg,,symbolic painting,Surrealism,Zdislav Beksinski,Zdislav Beksinski
15214.jpg,,religious painting,Early Renaissance,Albrecht Durer,Filippo Lippi
67413.jpg,1927,self-portrait,Expressionism,Pablo Picasso,Max Beckmann
80877.jpg,1914,genre painting,Orphism,Pablo Picasso,August Macke
91099.jpg,,genre painting,,Vincent van Gogh,Katsushika Hokusai
89318.jpg,c.1736,mythological painting,Rococo,Rembrandt,Giovanni Battista Tiepolo
81961.jpg,1865,portrait,Realism,Boris Kustodiev,Adolph Menzel
102502.jpg,1896,portrait,Realism,John Singer Sargent,William-Adolphe Bouguereau
87932.jpg,,abstract,Abstract Expressionism,Pablo Picasso,Richard Diebenkorn
91591.jpg,c.1745,genre painting,Rococo,John Singer Sargent,William Hogarth
18590.jpg,1924.0,flower painting,Precisionism,Henri Matisse,Georgia O'Keeffe
98414.jpg,1856,mythological painting,Romanticism,Pierre-Auguste Renoir,Gustave Moreau
23808.jpg,,design,Art Deco,Henri Matisse,Erte
38151.jpg,c.1745,genre painting,Rococo,Rembrandt,William Hogarth
90954.jpg,1526,religious painting,High Renaissance,Rembrandt,Lorenzo Lotto
2491.jpg,,portrait,Impressionism,Vincent van Gogh,Camille Pissarro
76959.jpg,1959.0,abstract,Color Field Painting,Boris Kustodiev,Morris Louis
49095.jpg,c.1940,landscape,Expressionism,Boris Kustodiev,Balthus
92512.jpg,1916,landscape,Symbolism,Vincent van Gogh,Ferdinand Hodler
23607.jpg,,nude painting (nu),Post-Impressionism,Henri Matisse,Henri Matisse
51122.jpg,1950.0,landscape,Precisionism,Henri Matisse,Georgia O'Keeffe
29479.jpg,c.1907,cityscape,Post-Impressionism,Vincent van Gogh,Maurice Prendergast
25123.jpg,c.1455,portrait,Northern Renaissance,Boris Kustodiev,Petrus Christus
86086.jpg,c.1750,portrait,Rococo,John Singer Sargent,Antoine Pesne
21685.jpg,1865,landscape,Impressionism,Camille Pissarro,Claude Monet
80607.jpg,,symbolic painting,Surrealism,Zdislav Beksinski,Zdislav Beksinski
33350.jpg,,still life,Baroque,John Singer Sargent,Pieter Claesz
34299.jpg,,portrait,Realism,Rembrandt,Ferdinand Hodler
16170.jpg,1885,landscape,Impressionism,Claude Monet,Claude Monet
35476.jpg,1897,portrait,Art Nouveau (Modern),Pablo Picasso,Alphonse Mucha
51512.jpg,,still life,Expressionism,Henri Matisse,Henri Matisse
35593.jpg,1641,portrait,Baroque,Rembrandt,Diego Velazquez
95455.jpg,,battle painting,Ukiyo-e,Pablo Picasso,Utagawa Kuniyoshi
35772.jpg,,marina,Romanticism,Eugene Boudin,William Turner
35234.jpg,1642,genre painting,Baroque,Rembrandt,Isaac van Ostade
22906.jpg,1897,still life,Impressionism,Henri Matisse,Henri Matisse
52653.jpg,1672,cityscape,Baroque,Camille Corot,Adriaen van de Velde
92078.jpg,1548,religious painting,Mannerism (Late Renaissance),John Singer Sargent,Tintoretto
86505.jpg,,nude painting (nu),Academicism,Zdislav Beksinski,Jean-Leon Gerome
43830.jpg,1975.0,abstract,Indian Space painting,Pablo Picasso,Steve Wheeler
72645.jpg,1943,still life,Cubism,Pyotr Konchalovsky,Gino Severini
84745.jpg,1910,design,Art Nouveau (Modern),Pablo Picasso,Koloman Moser
58286.jpg,1881,portrait,Impressionism,Camille Pissarro,Camille Pissarro
1899.jpg,1926.0,abstract,Abstract Art,Henri Matisse,Félix Del Marle
32823.jpg,,sketch and study,Northern Renaissance,Albrecht Durer,Albrecht Durer
95457.jpg,,religious painting,Baroque,Pyotr Konchalovsky,Matthias Stom
82038.jpg,c.1850,genre painting,Biedermeier,Gustave Dore,Carl Spitzweg
81672.jpg,1896,self-portrait,Realism,Pablo Picasso,Pablo Picasso
56402.jpg,1798,portrait,Rococo,Rembrandt,Vladimir Borovikovsky
31940.jpg,,landscape,Romanticism,Ivan Aivazovsky,Caspar David Friedrich
6747.jpg,1925,figurative,,Camille Corot,Mario Tozzi
35719.jpg,,genre painting,Surrealism,Zdislav Beksinski,Salvador Dali
56160.jpg,1901,portrait,Post-Impressionism,Boris Kustodiev,Pablo Picasso
69727.jpg,c.1635,genre painting,Baroque,Camille Corot,Adriaen Brouwer
54106.jpg,1887,allegorical painting,Symbolism,John Singer Sargent,Gustave Moreau
81059.jpg,,landscape,Post-Impressionism,Vincent van Gogh,Vincent van Gogh
93642.jpg,,religious painting,International Gothic,Albrecht Durer,Gentile da Fabriano
45994.jpg,,marina,Expressionism,Ivan Aivazovsky,Emil Nolde
11597.jpg,1509,religious painting,Northern Renaissance,Albrecht Durer,Matthias Grünewald
100743.jpg,c.1509,religious painting,Northern Renaissance,Albrecht Durer,Albrecht Durer
3008.jpg,,portrait,Impressionism,Edgar Degas,Berthe Morisot
36246.jpg,1890.0,illustration,Neo-Romanticism,Gustave Dore,Theodor Severin Kittelsen
96629.jpg,1930,sketch and study,Expressionism,Henri Matisse,Henri Matisse
67796.jpg,c.1880,genre painting,Impressionism,Childe Hassam,Gustave Caillebotte
13775.jpg,1925,allegorical painting,Metaphysical art,Pablo Picasso,Giorgio de Chirico
27824.jpg,,portrait,Post-Impressionism,Pablo Picasso,Moise Kisling
60353.jpg,1913,still life,Synthetic Cubism,Pablo Picasso,Juan Gris
75764.jpg,c.1920,portrait,Post-Impressionism,Henri Matisse,Henri Matisse
45150.jpg,c.1504,religious painting,Northern Renaissance,Albrecht Durer,Albrecht Durer
34697.jpg,1670,genre painting,Baroque,Camille Corot,Jan Steen
47601.jpg,1909.0,landscape,Expressionism,Vincent van Gogh,Akseli Gallen-Kallela
66190.jpg,1888,marina,Post-Impressionism,Vincent van Gogh,Vincent van Gogh
84807.jpg,1877,cityscape,Realism,Camille Corot,Vasily Polenov
93852.jpg,c.1898,still life,Impressionism,Henri Matisse,Henri Matisse
34251.jpg,,portrait,Expressionism,Pierre-Auguste Renoir,Oskar Kokoschka
62062.jpg,c.1887,genre painting,Impressionism,Edgar Degas,Edgar Degas
48117.jpg,1877,portrait,Impressionism,Pablo Picasso,Edgar Degas
25533.jpg,1869,portrait,Neoclassicism,Camille Corot,William-Adolphe Bouguereau
88135.jpg,,genre painting,Impressionism,Camille Pissarro,Gustave Caillebotte
89263.jpg,1941,nude painting (nu),Post-Impressionism,Childe Hassam,Pierre Bonnard
47776.jpg,1910,portrait,Expressionism,Henri Matisse,Henri Matisse
68206.jpg,,portrait,Ukiyo-e,Theophile Steinlen,Kitagawa Utamaro
34038.jpg,,illustration,International Gothic,Boris Kustodiev,Limbourg brothers
62238.jpg,c.1722,mythological painting,Rococo,Rembrandt,Giovanni Battista Tiepolo
57506.jpg,1661,genre painting,Baroque,Rembrandt,Adriaen van Ostade
44582.jpg,1912.0,cityscape,Impressionism,John Singer Sargent,John Marin
37716.jpg,1919,nude painting (nu),Post-Impressionism,Pablo Picasso,Henri Matisse
83451.jpg,1914,genre painting,Expressionism,Pierre-Auguste Renoir,August Macke
20005.jpg,c.1850,genre painting,Biedermeier,Camille Corot,Carl Spitzweg
27966.jpg,,genre painting,Realism,Ivan Aivazovsky,Konstantinos Volanakis
82799.jpg,1871,battle painting,Realism,Vincent van Gogh,Vasily Vereshchagin
57214.jpg,1875,mythological painting,Neoclassicism,Albrecht Durer,William-Adolphe Bouguereau
43497.jpg,1889,mythological painting,Realism,John Singer Sargent,William-Adolphe Bouguereau
85632.jpg,1884,nude painting (nu),Neoclassicism,John Singer Sargent,William-Adolphe Bouguereau
39024.jpg,,portrait,Expressionism,Henri Matisse,Henri Matisse
32330.jpg,1903,cityscape,Impressionism,Claude Monet,Claude Monet
93926.jpg,c.1638,religious painting,Baroque,Camille Corot,Francisco de Zurbaran
19804.jpg,1901,genre painting,Expressionism,Henri Matisse,Pablo Picasso
27232.jpg,1739,genre painting,Rococo,Albrecht Durer,Jean-Baptiste-Simeon Chardin
40387.jpg,1891,sketch and study,Pointillism,Henri Matisse,Georges Seurat
97766.jpg,1853,genre painting,Realism,Theophile Steinlen,Gustave Courbet
81468.jpg,,cityscape,Rococo,Albrecht Durer,Bernardo Bellotto
87998.jpg,1918,abstract,Abstract Art,Henri Matisse,Alexej von Jawlensky
98093.jpg,,religious painting,Rococo,Rembrandt,Vladimir Borovikovsky
